Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
"Usher, Young Thug",No Limit,56,32,18,2016-11-12
Lady Gaga,Million Reasons,57,57,2,2016-11-12
Jon Bellion,All Time Low,58,58,3,2016-11-12
LOCASH,I Know Somebody,59,52,9,2016-11-12
Jason Aldean,A Little More Summertime,60,57,8,2016-11-12
"PARTYNEXTDOOR, Drake",Come And See Me,61,60,17,2016-11-12
Brett Young,Sleep Without You,62,61,7,2016-11-12
Lil Uzi Vert,Money Longer,63,54,20,2016-11-12
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,64,63,10,2016-11-12
Kanye West,Fade,65,47,8,2016-11-12
YO,A,66,,,2016-11-12
Miranda Lambert,Vice,67,47,15,2016-11-12
Niall Horan,This Town,68,25,5,2016-11-12
Little Mix,Shout Out To My Ex,69,,,2016-11-12
Lil Uzi Vert,You Was Right,70,70,16,2016-11-12
Billy Currington,It Don't Hurt Like It Used To,71,44,14,2016-11-12
Old Dominion,Song For Another Time,72,69,5,2016-11-12
"YFN Lucci, Migos, Trouble",Key To The Streets,73,70,6,2016-11-12
Andy Grammer,Fresh Eyes,74,74,4,2016-11-12
"Fitz, The Tantrums",HandClap,75,67,5,2016-11-12
Brett Eldredge,Wanna Be That Song,76,76,4,2016-11-12
Carrie Underwood,Dirty Laundry,77,73,2,2016-11-12
Lady Gaga,Perfect Illusion,78,15,6,2016-11-12
"Flume, Tove Lo",Say It,79,60,2,2016-11-12
Rihanna,Love On The Brain,80,80,2,2016-11-12
"Frenship, Emily Warren",Capsize,81,78,5,2016-11-12
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,82,77,11,2016-11-12
Shawn Mendes,Mercy,83,68,6,2016-11-12
"The Game, Jeremih",All Eyez,84,79,3,2016-11-12
"21 Savage, Metro Boomin",No Heart,85,,,2016-11-12
Zara Larsson,Ain't My Fault,86,85,3,2016-11-12
Dae Dae,Wat U Mean,87,66,15,2016-11-12
Kungs vs Cookin' On 3 Burners,This Girl,88,26,14,2016-11-12
Tim McGraw,How I'll Always Be,89,89,2,2016-11-12
Beyonce,Hold Up,90,13,13,2016-11-12
"YG, Drake, Kamaiyah",Why You Always Hatin?,91,62,18,2016-11-12
A Boogie Wit da Hoodie,My Sh*t,92,92,2,2016-11-12
Maren Morris,80s Mercedes,93,93,2,2016-11-12
Kehlani,CRZY,94,85,5,2016-11-12
"Pitbull, Flo Rida, LunchMoney Lewis",Greenlight,95,,,2016-11-12
"French Montana, Kodak Black",Lockjaw,96,73,13,2016-11-12
"Marc E. Bassy, G",You & Me,97,58,16,2016-11-12
Travis Scott,Goosebumps,98,91,6,2016-11-12
Russ,What They Want,99,,,2016-11-12
James Arthur,Say You Won't Let Go,100,,,2016-11-12
"The Chainsmokers, Halsey",Closer,1,1,2,2016-11-05
twenty one pilots,Heathens,3,2,18,2016-11-05
"DJ Snake, Justin Bieber",Let Me Love You,4,4,11,2016-11-05
"D.R.A.M., Lil Yachty",Broccoli,5,5,19,2016-11-05
Bruno Mars,24K Magic,6,5,2,2016-11-05
"Major Lazer, Justin Bieber, MO",Cold Water,7,2,13,2016-11-05
"Ariana Grande, Nicki Minaj",Side To Side,8,8,8,2016-11-05
"Maroon 5, Kendrick Lamar",Don't Wanna Know,9,9,2,2016-11-05
Shawn Mendes,Treat You Better,10,6,20,2016-11-05
"gnash, Olivia O'Brien",I Hate U I Love U,11,10,27,2016-11-05
"Sia, Sean Paul",Cheap Thrills,12,1,36,2016-11-05
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,13,11,4,2016-11-05
Kiiara,Gold,14,13,22,2016-11-05
"The Chainsmokers, Daya",Don't Let Me Down,15,3,36,2016-11-05
twenty one pilots,Ride,16,5,32,2016-11-05
"Calvin Harris, Rihanna",This Is What You Came For,17,3,25,2016-11-05
"Hailee Steinfeld, Grey, Zedd",Starving,18,18,12,2016-11-05
Justin Timberlake,Can't Stop The Feeling!,19,1,24,2016-11-05
Tory Lanez,Luv,20,19,17,2016-11-05
Young M.A,OOOUUU,21,21,8,2016-11-05
"Rae Sremmurd, Gucci Mane",Black Beatles,22,22,6,2016-11-05
"Drake, WizKid, Kyla",One Dance,23,1,29,2016-11-05
Adele,Send My Love,24,8,23,2016-11-05
"Sia, Kendrick Lamar",The Greatest,25,24,7,2016-11-05
Rihanna,Needed Me,26,7,38,2016-11-05
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,27,15,17,2016-11-05
"Drake, Rihanna",Too Good,28,14,25,2016-11-05
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,29,9,20,2016-11-05
X Ambassadors,Unsteady,30,26,23,2016-11-05
Coldplay,Hymn For The Weekend,31,25,21,2016-11-05
Amine,Caroline,32,32,7,2016-11-05
Daya,"Sit Still, Look Pretty",33,28,21,2016-11-05
Desiigner,Tiimmy Turner,34,34,13,2016-11-05
Calvin Harris,My Way,35,24,5,2016-11-05
Alessia Cara,Scars To Your Beautiful,36,36,8,2016-11-05
"Kenny Chesney, P!nk",Setting The World On Fire,37,29,12,2016-11-05
Desiigner,Panda,38,1,35,2016-11-05
"Rob $tone, J. Davi$, Spooks",Chill Bill,39,39,12,2016-11-05
Keith Urban,Blue Ain't Your Color,40,40,6,2016-11-05
Ariana Grande,Into You,41,13,23,2016-11-05
"Martin Garrix, Bebe Rexha",In The Name Of Love,42,39,10,2016-11-05
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,43,43,22,2016-11-05
"The Chainsmokers, Phoebe Ryan",All We Know,44,18,3,2016-11-05
Drake,Controlla,45,16,25,2016-11-05
Cole Swindell,Middle Of A Memory,46,46,13,2016-11-05
"DJ Khaled, Drake",For Free,47,13,20,2016-11-05
"Usher, Young Thug",No Limit,48,32,17,2016-11-05
"Fifth Harmony, Ty Dolla $ign",Work From Home,49,4,34,2016-11-05
"Florida Georgia Line, Tim McGraw",May We All,50,50,8,2016-11-05
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,51,43,10,2016-11-05
Lil Yachty,1 Night,52,52,11,2016-11-05
Luke Bryan,Move,53,53,9,2016-11-05
"21 Savage, Metro Boomin, Future",X,54,54,6,2016-11-05
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,55,48,11,2016-11-05
LOCASH,I Know Somebody,56,52,8,2016-11-05
Jason Aldean,A Little More Summertime,57,57,7,2016-11-05
Lil Uzi Vert,Money Longer,58,54,19,2016-11-05
Jon Bellion,All Time Low,59,59,2,2016-11-05
"PARTYNEXTDOOR, Drake",Come And See Me,60,60,16,2016-11-05
Brett Young,Sleep Without You,61,61,6,2016-11-05
Billy Currington,It Don't Hurt Like It Used To,62,44,13,2016-11-05
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,63,63,9,2016-11-05
Kanye West,Fade,64,47,7,2016-11-05
Niall Horan,This Town,65,25,4,2016-11-05
Miranda Lambert,Vice,66,47,14,2016-11-05
"Fitz, The Tantrums",HandClap,67,67,4,2016-11-05
The Weeknd,False Alarm,68,63,2,2016-11-05
Old Dominion,Song For Another Time,69,69,4,2016-11-05
"YFN Lucci, Migos, Trouble",Key To The Streets,70,70,5,2016-11-05
Lil Uzi Vert,You Was Right,71,71,15,2016-11-05
Dua Lipa,Blow Your Mind,72,,,2016-11-05
Carrie Underwood,Dirty Laundry,73,,,2016-11-05
Andy Grammer,Fresh Eyes,74,74,3,2016-11-05
Kungs vs Cookin' On 3 Burners,This Girl,75,26,13,2016-11-05
Brett Eldredge,Wanna Be That Song,76,76,3,2016-11-05
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,77,77,10,2016-11-05
"Frenship, Emily Warren",Capsize,78,78,4,2016-11-05
"The Game, Jeremih",All Eyez,79,79,2,2016-11-05
"Machine Gun Kelly, Camila Cabello",Bad Things,80,,,2016-11-05
Dae Dae,Wat U Mean,81,66,14,2016-11-05
Beyonce,Hold Up,82,13,12,2016-11-05
"Dierks Bentley, Elle King",Different For Girls,83,42,20,2016-11-05
Shawn Mendes,Mercy,84,68,5,2016-11-05
Zara Larsson,Ain't My Fault,85,85,2,2016-11-05
"ScHoolboy Q, Kanye West",THat Part,86,40,20,2016-11-05
Kehlani,CRZY,87,85,4,2016-11-05
"YG, Drake, Kamaiyah",Why You Always Hatin?,88,62,17,2016-11-05
"Fifth Harmony, Fetty Wap",All In My Head,89,24,18,2016-11-05
Kehlani,Gangsta,90,41,11,2016-11-05
Tucker Beathard,Rock On,91,62,10,2016-11-05
"Marc E. Bassy, G",You & Me,92,58,15,2016-11-05
Marshmello,Alone,93,,,2016-11-05
William Michael Morgan,I Met A Girl,94,60,9,2016-11-05
Maren Morris,80s Mercedes,95,,,2016-11-05
"DJ Khaled, Jay Z, Future",I Got The Keys,96,30,17,2016-11-05
"French Montana, Kodak Black",Lockjaw,97,73,12,2016-11-05
A Boogie Wit da Hoodie,My Sh*t,98,,,2016-11-05
Tim McGraw,How I'll Always Be,99,,,2016-11-05
Travis Scott,Goosebumps,100,91,5,2016-11-05
"The Chainsmokers, Halsey",Closer,1,1,1,2016-10-29
twenty one pilots,Heathens,3,2,17,2016-10-29
"DJ Snake, Justin Bieber",Let Me Love You,4,4,10,2016-10-29
Bruno Mars,24K Magic,5,,,2016-10-29
"D.R.A.M., Lil Yachty",Broccoli,6,6,18,2016-10-29
"Major Lazer, Justin Bieber, MO",Cold Water,7,2,12,2016-10-29
Shawn Mendes,Treat You Better,8,6,19,2016-10-29
"Sia, Sean Paul",Cheap Thrills,9,1,35,2016-10-29
"Ariana Grande, Nicki Minaj",Side To Side,10,10,7,2016-10-29
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,11,11,3,2016-10-29
"gnash, Olivia O'Brien",I Hate U I Love U,12,10,26,2016-10-29
"The Chainsmokers, Daya",Don't Let Me Down,13,3,35,2016-10-29
"Calvin Harris, Rihanna",This Is What You Came For,14,3,24,2016-10-29
Kiiara,Gold,15,13,21,2016-10-29
twenty one pilots,Ride,16,5,31,2016-10-29
"Drake, WizKid, Kyla",One Dance,17,1,28,2016-10-29
Rihanna,Needed Me,18,7,37,2016-10-29
Adele,Send My Love,19,8,22,2016-10-29
"Hailee Steinfeld, Grey, Zedd",Starving,20,20,11,2016-10-29
Tory Lanez,Luv,21,19,16,2016-10-29
Justin Timberlake,Can't Stop The Feeling!,22,1,23,2016-10-29
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,23,15,16,2016-10-29
"Drake, Rihanna",Too Good,24,14,24,2016-10-29
"Sia, Kendrick Lamar",The Greatest,25,24,6,2016-10-29
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,26,9,19,2016-10-29
Coldplay,Hymn For The Weekend,27,25,20,2016-10-29
Young M.A,OOOUUU,28,28,7,2016-10-29
X Ambassadors,Unsteady,29,26,22,2016-10-29
Calvin Harris,My Way,30,24,4,2016-10-29
Daya,"Sit Still, Look Pretty",31,28,20,2016-10-29
Desiigner,Panda,32,1,34,2016-10-29
"Rae Sremmurd, Gucci Mane",Black Beatles,33,33,5,2016-10-29
Ariana Grande,Into You,34,13,22,2016-10-29
Amine,Caroline,35,35,6,2016-10-29
"Kenny Chesney, P!nk",Setting The World On Fire,36,29,11,2016-10-29
Desiigner,Tiimmy Turner,37,34,12,2016-10-29
"The Chainsmokers, Phoebe Ryan",All We Know,38,18,2,2016-10-29
"Martin Garrix, Bebe Rexha",In The Name Of Love,39,39,9,2016-10-29
Keith Urban,Blue Ain't Your Color,40,40,5,2016-10-29
"DJ Khaled, Drake",For Free,41,13,19,2016-10-29
Alessia Cara,Scars To Your Beautiful,42,42,7,2016-10-29
Drake,Controlla,43,16,24,2016-10-29
"Rob $tone, J. Davi$, Spooks",Chill Bill,44,40,11,2016-10-29
"Usher, Young Thug",No Limit,45,32,16,2016-10-29
"Fifth Harmony, Ty Dolla $ign",Work From Home,46,4,33,2016-10-29
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,47,43,9,2016-10-29
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,48,48,10,2016-10-29
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,49,49,21,2016-10-29
P!nk,Just Like Fire,50,10,26,2016-10-29
Cole Swindell,Middle Of A Memory,51,51,12,2016-10-29
LOCASH,I Know Somebody,52,52,7,2016-10-29
Billy Currington,It Don't Hurt Like It Used To,53,44,12,2016-10-29
Niall Horan,This Town,54,25,3,2016-10-29
John Legend,Love Me Now,55,,,2016-10-29
"Maroon 5, Kendrick Lamar",Don't Wanna Know,56,,,2016-10-29
Lil Yachty,1 Night,57,57,10,2016-10-29
Luke Bryan,Move,58,55,8,2016-10-29
"Florida Georgia Line, Tim McGraw",May We All,59,56,7,2016-10-29
Kanye West,Father Stretch My Hands Pt. 1,60,37,23,2016-10-29
"Grace, G",You Don't Own Me,61,57,20,2016-10-29
"PARTYNEXTDOOR, Drake",Come And See Me,62,62,15,2016-10-29
Jason Aldean,A Little More Summertime,63,63,6,2016-10-29
Kanye West,Fade,64,47,6,2016-10-29
Kungs vs Cookin' On 3 Burners,This Girl,65,26,12,2016-10-29
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,66,66,8,2016-10-29
Miranda Lambert,Vice,67,47,13,2016-10-29
Brett Young,Sleep Without You,68,68,5,2016-10-29
Tucker Beathard,Rock On,69,62,9,2016-10-29
Brad Paisley,Today,70,,,2016-10-29
"21 Savage, Metro Boomin, Future",X,71,71,5,2016-10-29
Lil Uzi Vert,Money Longer,72,54,18,2016-10-29
Lil Uzi Vert,You Was Right,73,73,14,2016-10-29
"YFN Lucci, Migos, Trouble",Key To The Streets,74,74,4,2016-10-29
"Dierks Bentley, Elle King",Different For Girls,75,42,19,2016-10-29
Lady Gaga,Million Reasons,76,,,2016-10-29
PIKOTARO,PPAP,77,,,2016-10-29
William Michael Morgan,I Met A Girl,78,60,8,2016-10-29
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,79,77,9,2016-10-29
"Fitz, The Tantrums",HandClap,80,80,3,2016-10-29
Old Dominion,Song For Another Time,81,81,3,2016-10-29
Jon Bellion,All Time Low,82,,,2016-10-29
Beyonce,Hold Up,83,13,11,2016-10-29
Andy Grammer,Fresh Eyes,84,84,2,2016-10-29
Zara Larsson,Ain't My Fault,85,,,2016-10-29
Dae Dae,Wat U Mean,86,66,13,2016-10-29
"Marc E. Bassy, G",You & Me,87,58,14,2016-10-29
"Fifth Harmony, Fetty Wap",All In My Head,88,24,17,2016-10-29
Shawn Mendes,Mercy,89,68,4,2016-10-29
Kehlani,CRZY,90,85,3,2016-10-29
"Frenship, Emily Warren",Capsize,91,91,3,2016-10-29
"ScHoolboy Q, Kanye West",THat Part,92,40,19,2016-10-29
Brett Eldredge,Wanna Be That Song,93,93,2,2016-10-29
Kelsea Ballerini,Peter Pan,94,35,20,2016-10-29
Lady Gaga,Perfect Illusion,95,15,5,2016-10-29
OneRepublic,Kids,96,,,2016-10-29
"Artists Of Then, Now, Forever",Forever Country,97,21,4,2016-10-29
"DJ Khaled, Jay Z, Future",I Got The Keys,98,30,16,2016-10-29
Solange,Cranes In The Sky,99,74,2,2016-10-29
Kehlani,Gangsta,100,41,10,2016-10-29
"The Chainsmokers, Halsey",Closer,1,1,0,2016-10-22
twenty one pilots,Heathens,3,2,16,2016-10-22
"Major Lazer, Justin Bieber, MO",Cold Water,4,2,11,2016-10-22
"DJ Snake, Justin Bieber",Let Me Love You,5,4,9,2016-10-22
"D.R.A.M., Lil Yachty",Broccoli,6,6,17,2016-10-22
Shawn Mendes,Treat You Better,7,6,18,2016-10-22
"Sia, Sean Paul",Cheap Thrills,8,1,34,2016-10-22
"The Chainsmokers, Daya",Don't Let Me Down,9,3,34,2016-10-22
"gnash, Olivia O'Brien",I Hate U I Love U,10,10,25,2016-10-22
"Calvin Harris, Rihanna",This Is What You Came For,11,3,23,2016-10-22
"Ariana Grande, Nicki Minaj",Side To Side,12,12,6,2016-10-22
Kiiara,Gold,13,13,20,2016-10-22
twenty one pilots,Ride,14,5,30,2016-10-22
Rihanna,Needed Me,15,7,36,2016-10-22
"Drake, WizKid, Kyla",One Dance,16,1,27,2016-10-22
Adele,Send My Love,17,8,21,2016-10-22
"The Chainsmokers, Phoebe Ryan",All We Know,18,,,2016-10-22
"Drake, Rihanna",Too Good,19,14,23,2016-10-22
"Hailee Steinfeld, Grey, Zedd",Starving,20,20,10,2016-10-22
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,21,9,18,2016-10-22
Tory Lanez,Luv,22,19,15,2016-10-22
Justin Timberlake,Can't Stop The Feeling!,23,1,22,2016-10-22
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,24,15,15,2016-10-22
Niall Horan,This Town,25,25,2,2016-10-22
Coldplay,Hymn For The Weekend,26,25,19,2016-10-22
"Sia, Kendrick Lamar",The Greatest,27,24,5,2016-10-22
Calvin Harris,My Way,28,24,3,2016-10-22
Young M.A,OOOUUU,29,29,6,2016-10-22
X Ambassadors,Unsteady,30,26,21,2016-10-22
Ariana Grande,Into You,31,13,21,2016-10-22
Daya,"Sit Still, Look Pretty",32,28,19,2016-10-22
Desiigner,Panda,33,1,33,2016-10-22
"Kenny Chesney, P!nk",Setting The World On Fire,34,29,10,2016-10-22
Desiigner,Tiimmy Turner,35,34,11,2016-10-22
Drake,Controlla,36,16,23,2016-10-22
"DJ Khaled, Drake",For Free,37,13,18,2016-10-22
"Rae Sremmurd, Gucci Mane",Black Beatles,38,38,4,2016-10-22
"Usher, Young Thug",No Limit,39,32,15,2016-10-22
"Rob $tone, J. Davi$, Spooks",Chill Bill,40,40,10,2016-10-22
"Martin Garrix, Bebe Rexha",In The Name Of Love,41,41,8,2016-10-22
"Fifth Harmony, Ty Dolla $ign",Work From Home,42,4,32,2016-10-22
P!nk,Just Like Fire,43,10,25,2016-10-22
Amine,Caroline,44,44,5,2016-10-22
Keith Urban,Blue Ain't Your Color,45,45,4,2016-10-22
Alessia Cara,Scars To Your Beautiful,46,46,6,2016-10-22
Kungs vs Cookin' On 3 Burners,This Girl,47,26,11,2016-10-22
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,48,43,8,2016-10-22
"Future, The Weeknd",Low Life,49,18,35,2016-10-22
Billy Currington,It Don't Hurt Like It Used To,50,44,11,2016-10-22
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,51,51,20,2016-10-22
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,52,52,9,2016-10-22
Cole Swindell,Middle Of A Memory,53,53,11,2016-10-22
Kanye West,Fade,54,47,5,2016-10-22
Luke Bryan,Move,55,55,7,2016-10-22
Kanye West,Father Stretch My Hands Pt. 1,56,37,22,2016-10-22
Lil Yachty,1 Night,57,57,9,2016-10-22
LOCASH,I Know Somebody,58,58,6,2016-10-22
"Florida Georgia Line, Tim McGraw",May We All,59,56,6,2016-10-22
"Flume, Tove Lo",Say It,60,,,2016-10-22
William Michael Morgan,I Met A Girl,61,60,7,2016-10-22
Tucker Beathard,Rock On,62,62,8,2016-10-22
The Weeknd,False Alarm,63,,,2016-10-22
Miranda Lambert,Vice,64,47,12,2016-10-22
"PARTYNEXTDOOR, Drake",Come And See Me,65,65,14,2016-10-22
Jason Aldean,A Little More Summertime,66,66,5,2016-10-22
"Dierks Bentley, Elle King",Different For Girls,67,42,18,2016-10-22
Lil Uzi Vert,Money Longer,68,54,17,2016-10-22
Lady Gaga,Perfect Illusion,69,15,4,2016-10-22
Brett Young,Sleep Without You,70,70,4,2016-10-22
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,71,71,7,2016-10-22
"21 Savage, Metro Boomin, Future",X,72,72,4,2016-10-22
"Artists Of Then, Now, Forever",Forever Country,73,21,3,2016-10-22
Solange,Cranes In The Sky,74,,,2016-10-22
"Marc E. Bassy, G",You & Me,75,58,13,2016-10-22
Shawn Mendes,Mercy,76,68,3,2016-10-22
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,77,77,8,2016-10-22
Lil Uzi Vert,You Was Right,78,78,13,2016-10-22
"Fifth Harmony, Fetty Wap",All In My Head,79,24,16,2016-10-22
Kelsea Ballerini,Peter Pan,80,35,19,2016-10-22
Beyonce,Hold Up,81,13,10,2016-10-22
Dae Dae,Wat U Mean,82,66,12,2016-10-22
"YFN Lucci, Migos, Trouble",Key To The Streets,83,83,3,2016-10-22
"Fitz, The Tantrums",HandClap,84,84,2,2016-10-22
Kehlani,CRZY,85,85,2,2016-10-22
Sam Hunt,Make You Miss Me,86,45,19,2016-10-22
"Grace, G",You Don't Own Me,87,57,19,2016-10-22
"ScHoolboy Q, Kanye West",THat Part,88,40,18,2016-10-22
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,89,57,2,2016-10-22
"DJ Khaled, Jay Z, Future",I Got The Keys,90,30,15,2016-10-22
"Solange, Sampha",Don't Touch My Hair,91,,,2016-10-22
Old Dominion,Song For Another Time,92,92,2,2016-10-22
"Frenship, Emily Warren",Capsize,93,93,2,2016-10-22
CL,LIFTED,94,,,2016-10-22
Kehlani,Gangsta,95,41,9,2016-10-22
Travis Scott,Goosebumps,96,91,4,2016-10-22
Andy Grammer,Fresh Eyes,97,,,2016-10-22
Brett Eldredge,Wanna Be That Song,98,,,2016-10-22
"YG, Drake, Kamaiyah",Why You Always Hatin?,99,62,16,2016-10-22
"The Game, Jeremih",All Eyez,100,,,2016-10-22
"The Chainsmokers, Halsey",Closer,1,1,9,2016-10-15
"The Weeknd, Daft Punk",Starboy,3,3,2,2016-10-15
"Major Lazer, Justin Bieber, MO",Cold Water,4,2,10,2016-10-15
"DJ Snake, Justin Bieber",Let Me Love You,5,4,8,2016-10-15
Shawn Mendes,Treat You Better,6,6,17,2016-10-15
"Sia, Sean Paul",Cheap Thrills,7,1,33,2016-10-15
"D.R.A.M., Lil Yachty",Broccoli,8,8,16,2016-10-15
"The Chainsmokers, Daya",Don't Let Me Down,9,3,33,2016-10-15
"Calvin Harris, Rihanna",This Is What You Came For,10,3,22,2016-10-15
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,11,9,17,2016-10-15
twenty one pilots,Ride,12,5,29,2016-10-15
"gnash, Olivia O'Brien",I Hate U I Love U,13,13,24,2016-10-15
"Drake, WizKid, Kyla",One Dance,14,1,26,2016-10-15
Kiiara,Gold,15,15,19,2016-10-15
Adele,Send My Love,16,8,20,2016-10-15
Rihanna,Needed Me,17,7,35,2016-10-15
"Drake, Rihanna",Too Good,18,14,22,2016-10-15
"Ariana Grande, Nicki Minaj",Side To Side,19,18,5,2016-10-15
Justin Timberlake,Can't Stop The Feeling!,20,1,21,2016-10-15
Tory Lanez,Luv,21,19,14,2016-10-15
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,22,15,14,2016-10-15
Ariana Grande,Into You,23,13,20,2016-10-15
"Hailee Steinfeld, Grey, Zedd",Starving,24,24,9,2016-10-15
Coldplay,Hymn For The Weekend,25,25,18,2016-10-15
X Ambassadors,Unsteady,26,26,20,2016-10-15
Calvin Harris,My Way,27,24,2,2016-10-15
Desiigner,Panda,28,1,32,2016-10-15
Kungs vs Cookin' On 3 Burners,This Girl,29,26,10,2016-10-15
"Sia, Kendrick Lamar",The Greatest,30,24,4,2016-10-15
"DJ Khaled, Drake",For Free,31,13,17,2016-10-15
Drake,Controlla,32,16,22,2016-10-15
Daya,"Sit Still, Look Pretty",33,28,18,2016-10-15
"Artists Of Then, Now, Forever",Forever Country,34,21,2,2016-10-15
"Usher, Young Thug",No Limit,35,32,14,2016-10-15
Young M.A,OOOUUU,36,36,5,2016-10-15
"Kenny Chesney, P!nk",Setting The World On Fire,37,29,9,2016-10-15
P!nk,Just Like Fire,38,10,24,2016-10-15
"Fifth Harmony, Ty Dolla $ign",Work From Home,39,4,31,2016-10-15
"Rob $tone, J. Davi$, Spooks",Chill Bill,40,40,9,2016-10-15
"Rae Sremmurd, Gucci Mane",Black Beatles,41,41,3,2016-10-15
"Future, The Weeknd",Low Life,42,18,34,2016-10-15
Desiigner,Tiimmy Turner,43,34,10,2016-10-15
Billy Currington,It Don't Hurt Like It Used To,44,44,10,2016-10-15
"Rihanna, Drake",Work,45,1,36,2016-10-15
Mike Posner,I Took A Pill In Ibiza,46,4,37,2016-10-15
"Martin Garrix, Bebe Rexha",In The Name Of Love,47,47,7,2016-10-15
"Flume, Kai",Never Be Like You,48,20,26,2016-10-15
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,49,43,7,2016-10-15
Florida Georgia Line,H.O.L.Y.,50,14,22,2016-10-15
Alessia Cara,Scars To Your Beautiful,51,51,5,2016-10-15
Amine,Caroline,52,52,4,2016-10-15
Keith Urban,Blue Ain't Your Color,53,53,3,2016-10-15
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,54,54,19,2016-10-15
"Dierks Bentley, Elle King",Different For Girls,55,42,17,2016-10-15
Cole Swindell,Middle Of A Memory,56,56,10,2016-10-15
Kanye West,Father Stretch My Hands Pt. 1,57,37,21,2016-10-15
Kanye West,Fade,58,47,4,2016-10-15
Lady Gaga,Perfect Illusion,59,15,3,2016-10-15
William Michael Morgan,I Met A Girl,60,60,6,2016-10-15
Luke Bryan,Move,61,61,6,2016-10-15
Lil Yachty,1 Night,62,62,8,2016-10-15
Niall Horan,This Town,63,,,2016-10-15
Miranda Lambert,Vice,64,47,11,2016-10-15
"Florida Georgia Line, Tim McGraw",May We All,65,56,5,2016-10-15
Lil Uzi Vert,Money Longer,66,54,16,2016-10-15
Tucker Beathard,Rock On,67,64,7,2016-10-15
Shawn Mendes,Mercy,68,68,2,2016-10-15
Kelsea Ballerini,Peter Pan,69,35,18,2016-10-15
"PARTYNEXTDOOR, Drake",Come And See Me,70,65,13,2016-10-15
Jason Aldean,A Little More Summertime,71,69,4,2016-10-15
LOCASH,I Know Somebody,72,72,5,2016-10-15
Lukas Graham,Mama Said,73,36,11,2016-10-15
"Marc E. Bassy, G",You & Me,74,58,12,2016-10-15
Meghan Trainor,Me Too,75,13,20,2016-10-15
Brett Young,Sleep Without You,76,76,3,2016-10-15
"Fifth Harmony, Fetty Wap",All In My Head,77,24,15,2016-10-15
"21 Savage, Metro Boomin, Future",X,78,78,3,2016-10-15
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,79,79,6,2016-10-15
Sam Hunt,Make You Miss Me,80,45,18,2016-10-15
"DJ Khaled, Jay Z, Future",I Got The Keys,81,30,14,2016-10-15
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,82,82,8,2016-10-15
"ScHoolboy Q, Kanye West",THat Part,83,40,17,2016-10-15
Dae Dae,Wat U Mean,84,66,11,2016-10-15
Lil Uzi Vert,You Was Right,85,85,12,2016-10-15
"YFN Lucci, Migos, Trouble",Key To The Streets,86,86,2,2016-10-15
Beyonce,Hold Up,87,13,9,2016-10-15
Kehlani,Gangsta,88,41,8,2016-10-15
"Fitz, The Tantrums",HandClap,89,,,2016-10-15
"YG, Drake, Kamaiyah",Why You Always Hatin?,90,62,15,2016-10-15
Travis Scott,Goosebumps,91,91,3,2016-10-15
Old Dominion,Song For Another Time,92,,,2016-10-15
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,93,91,7,2016-10-15
"Frenship, Emily Warren",Capsize,94,,,2016-10-15
Kehlani,CRZY,95,,,2016-10-15
