Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Lil Pump,Gucci Gang,14,2017-11-11,14,7
21 Savage,Bank Account,12,2017-11-11,15,16
Charlie Puth,Attention,5,2017-11-11,16,27
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-11-11,17,41
Gucci Mane Featuring Migos,I Get The Bag,11,2017-11-11,18,10
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-11-11,19,17
Imagine Dragons,Believer,4,2017-11-11,20,38
Ed Sheeran,Shape Of You,1,2017-11-11,21,42
P!nk,What About Us,13,2017-11-11,22,12
Liam Payne Featuring Quavo,Strip That Down,10,2017-11-11,23,23
Niall Horan,Slow Hands,11,2017-11-11,24,26
Taylor Swift,Look What You Made Me Do,1,2017-11-11,25,10
Khalid,Young Dumb & Broke,25,2017-11-11,26,15
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-11-11,27,27
Post Malone,I Fall Apart,28,2017-11-11,28,5
Kesha,Praying,22,2017-11-11,29,16
G,No Limit,30,2017-11-11,30,7
Halsey,Bad At Love,31,2017-11-11,31,8
Bruno Mars,That's What I Like,1,2017-11-11,32,41
Kane Brown Featuring Lauren Alaina,What Ifs,26,2017-11-11,33,20
Dua Lipa,New Rules,34,2017-11-11,34,13
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-11-11,35,19
Luke Combs,When It Rains It Pours,33,2017-11-11,36,13
The Chainsmokers & Coldplay,Something Just Like This,3,2017-11-11,37,36
Kendrick Lamar,Humble.,1,2017-11-11,38,30
Post Malone Featuring Quavo,Congratulations,8,2017-11-11,39,44
Lil Uzi Vert,XO TOUR Llif3,7,2017-11-11,40,31
Blackbear,Do Re Mi,40,2017-11-11,41,20
Sam Hunt,Body Like A Back Road,6,2017-11-11,42,39
Khalid,Location,16,2017-11-11,43,42
SZA,The Weekend,44,2017-11-11,44,13
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-11-11,45,18
Taylor Swift,...Ready For It?,4,2017-11-11,46,8
Marshmello Featuring Khalid,Silence,42,2017-11-11,47,11
SZA Featuring Travis Scott,Love Galore,32,2017-11-11,48,20
Thomas Rhett,Unforgettable,47,2017-11-11,49,13
Future & Young Thug Featuring Offset,Patek Water,,2017-11-11,50,
LANCO,Greatest Love Story,51,2017-11-11,51,8
Charlie Puth,How Long,52,2017-11-11,52,3
Travis Scott,Butterfly Effect,51,2017-11-11,53,22
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,54,2017-11-11,54,7
A$AP Ferg Featuring Nicki Minaj,Plain Jane,55,2017-11-11,55,5
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,39,2017-11-11,56,9
Kelly Clarkson,Love So Soft,57,2017-11-11,57,7
Carly Pearce,Every Little Thing,50,2017-11-11,58,13
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-11-11,59,10
Tay,The Race,44,2017-11-11,60,12
Bebe Rexha & Florida Georgia Line,Meant To Be,,2017-11-11,61,
Future & Young Thug,No Cap,,2017-11-11,62,
Chris Young,Losing Sleep,63,2017-11-11,63,5
Luke Bryan,Light It Up,64,2017-11-11,64,9
XXXTENTACION,Jocelyn Flores,31,2017-11-11,65,9
Kodak Black,Transportin',46,2017-11-11,66,10
Brett Young,Like I Loved You,67,2017-11-11,67,5
Future,Feed Me Dope,,2017-11-11,68,
Chris Janson,Fix A Drink,69,2017-11-11,69,9
Blake Shelton,I'll Name The Dogs,70,2017-11-11,70,7
Macklemore Featuring Skylar Grey,Glorious,49,2017-11-11,71,16
Zayn Featuring Sia,Dusk Till Dawn,44,2017-11-11,72,7
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,73,2017-11-11,73,5
Lil Uzi Vert,Sauce It Up,49,2017-11-11,74,9
NF,Let You Down,75,2017-11-11,75,2
Wisin Featuring Ozuna,Escapate Conmigo,63,2017-11-11,76,20
Future & Young Thug,All Da Smoke,,2017-11-11,77,
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-11-11,78,9
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,44,2017-11-11,79,20
Miguel Featuring Travis Scott,Sky Walker,80,2017-11-11,80,5
Young Thug Featuring Future,Relationship,65,2017-11-11,81,10
Post Malone,Go Flex,76,2017-11-11,82,6
Maren Morris,I Could Use A Love Song,83,2017-11-11,83,10
Post Malone,Candy Paint,,2017-11-11,84,
Russell Dickerson,Yours,84,2017-11-11,85,2
Eric Church,Round Here Buzz,86,2017-11-11,86,5
Kenny Chesney,All The Pretty Girls,63,2017-11-11,87,13
Selena Gomez X Marshmello,Wolves,,2017-11-11,88,
Kip Moore,More Girls Like You,66,2017-11-11,89,11
MAX Featuring gnash,Lights Down Low,90,2017-11-11,90,3
Florida Georgia Line,Smooth,91,2017-11-11,91,4
Future,4 Da Gang,,2017-11-11,92,
Chris Brown,Questions,84,2017-11-11,93,9
Justin Bieber + BloodPop,Friends,20,2017-11-11,94,10
Jon Pardi,Heartache On The Dance Floor,47,2017-11-11,95,17
Niall Horan,Too Much To Ask,66,2017-11-11,96,2
Jacquees,B.E.D.,69,2017-11-11,97,12
Liam Payne,Bedroom Floor,,2017-11-11,98,
"Quavo, Takeoff & Offset",Too Hotty,91,2017-11-11,99,3
Future & Young Thug,Three,,2017-11-11,100,
Post Malone Featuring 21 Savage,Rockstar,1,2017-11-04,1,5
800,1,3,2017-11-04,3,25
Portugal. The Man,Feel It Still,4,2017-11-04,4,18
Imagine Dragons,Thunder,5,2017-11-04,5,25
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-11-04,6,16
Demi Lovato,Sorry Not Sorry,7,2017-11-04,7,15
Sam Smith,Too Good At Goodbyes,5,2017-11-04,8,6
French Montana Featuring Swae Lee,Unforgettable,3,2017-11-04,9,28
Taylor Swift,Look What You Made Me Do,1,2017-11-04,10,9
Gucci Mane Featuring Migos,I Get The Bag,11,2017-11-04,11,9
Charlie Puth,Attention,5,2017-11-04,12,26
P!nk,What About Us,13,2017-11-04,13,11
Imagine Dragons,Believer,4,2017-11-04,14,37
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-11-04,15,40
21 Savage,Bank Account,12,2017-11-04,16,15
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-11-04,17,16
Ed Sheeran,Perfect,18,2017-11-04,18,8
Maroon 5 Featuring SZA,What Lovers Do,17,2017-11-04,19,8
Camila Cabello Featuring Young Thug,Havana,20,2017-11-04,20,10
Liam Payne Featuring Quavo,Strip That Down,10,2017-11-04,21,22
Ed Sheeran,Shape Of You,1,2017-11-04,22,41
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-11-04,23,26
Niall Horan,Slow Hands,11,2017-11-04,24,25
Khalid,Young Dumb & Broke,25,2017-11-04,25,14
Kane Brown Featuring Lauren Alaina,What Ifs,26,2017-11-04,26,19
Lil Pump,Gucci Gang,27,2017-11-04,27,6
Kesha,Praying,22,2017-11-04,28,15
Post Malone,I Fall Apart,29,2017-11-04,29,4
Bruno Mars,That's What I Like,1,2017-11-04,30,40
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-11-04,31,18
Halsey,Bad At Love,32,2017-11-04,32,7
Luke Combs,When It Rains It Pours,33,2017-11-04,33,12
Post Malone Featuring Quavo,Congratulations,8,2017-11-04,34,43
Kendrick Lamar,Humble.,1,2017-11-04,35,29
Lil Uzi Vert,XO TOUR Llif3,7,2017-11-04,36,30
The Chainsmokers & Coldplay,Something Just Like This,3,2017-11-04,37,35
Dua Lipa,New Rules,38,2017-11-04,38,12
Sam Hunt,Body Like A Back Road,6,2017-11-04,39,38
Blackbear,Do Re Mi,40,2017-11-04,40,19
SZA Featuring Travis Scott,Love Galore,32,2017-11-04,41,19
G,No Limit,42,2017-11-04,42,6
Khalid,Location,16,2017-11-04,43,41
Marshmello Featuring Khalid,Silence,42,2017-11-04,44,10
SZA,The Weekend,45,2017-11-04,45,12
James Arthur,Say You Won't Let Go,11,2017-11-04,46,52
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-11-04,47,17
Thomas Rhett,Unforgettable,47,2017-11-04,48,12
Cheat Codes Featuring Demi Lovato,No Promises,38,2017-11-04,49,23
Carly Pearce,Every Little Thing,50,2017-11-04,50,12
Travis Scott,Butterfly Effect,51,2017-11-04,51,21
Taylor Swift,...Ready For It?,4,2017-11-04,52,7
Dustin Lynch,Small Town Boy,36,2017-11-04,53,20
LANCO,Greatest Love Story,54,2017-11-04,54,7
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,55,2017-11-04,55,6
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,39,2017-11-04,56,8
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-11-04,57,9
Tay,The Race,44,2017-11-04,58,11
Kelly Clarkson,Love So Soft,59,2017-11-04,59,6
Charlie Puth,How Long,60,2017-11-04,60,2
A$AP Ferg Featuring Nicki Minaj,Plain Jane,61,2017-11-04,61,4
XXXTENTACION,Jocelyn Flores,31,2017-11-04,62,8
Kodak Black,Transportin',46,2017-11-04,63,9
Macklemore Featuring Skylar Grey,Glorious,49,2017-11-04,64,15
Young Thug Featuring Future,Relationship,65,2017-11-04,65,9
Kip Moore,More Girls Like You,66,2017-11-04,66,10
Luke Bryan,Light It Up,67,2017-11-04,67,8
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,44,2017-11-04,68,19
Zayn Featuring Sia,Dusk Till Dawn,44,2017-11-04,69,6
Blake Shelton,I'll Name The Dogs,70,2017-11-04,70,6
Gucci Mane Featuring The Weeknd,Curve,67,2017-11-04,71,3
Wisin Featuring Ozuna,Escapate Conmigo,63,2017-11-04,72,19
Jon Pardi,Heartache On The Dance Floor,47,2017-11-04,73,16
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,74,2017-11-04,74,4
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-11-04,75,8
Post Malone,Go Flex,76,2017-11-04,76,5
Chris Janson,Fix A Drink,77,2017-11-04,77,8
Brett Young,Like I Loved You,78,2017-11-04,78,4
Kenny Chesney,All The Pretty Girls,63,2017-11-04,79,12
Chris Young,Losing Sleep,80,2017-11-04,80,4
Lil Uzi Vert,Sauce It Up,49,2017-11-04,81,8
Chris Brown Featuring Future & Young Thug,High End,,2017-11-04,82,
Maren Morris,I Could Use A Love Song,83,2017-11-04,83,9
Russell Dickerson,Yours,,2017-11-04,84,
Miguel Featuring Travis Scott,Sky Walker,85,2017-11-04,85,4
Jacquees,B.E.D.,69,2017-11-04,86,11
NF,Let You Down,,2017-11-04,87,
Justin Bieber + BloodPop,Friends,20,2017-11-04,88,9
Chris Brown,Questions,84,2017-11-04,89,8
MAX Featuring gnash,Lights Down Low,90,2017-11-04,90,2
"Quavo, Takeoff & Offset",Too Hotty,91,2017-11-04,91,2
Florida Georgia Line,Smooth,92,2017-11-04,92,3
Eric Church,Round Here Buzz,93,2017-11-04,93,4
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,20,2017-11-04,94,18
Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin,,2017-11-04,95,
Walker Hayes,You Broke Up With Me,,2017-11-04,96,
Becky G Featuring Bad Bunny,Mayores,,2017-11-04,97,
Garth Brooks,Ask Me How I Know,,2017-11-04,98,
Jason Aldean,They Don't Know,67,2017-11-04,99,12
Billy Currington,Do I Make You Wanna,47,2017-11-04,100,19
Post Malone Featuring 21 Savage,Rockstar,1,2017-10-28,1,4
800,1,3,2017-10-28,3,24
Taylor Swift,Look What You Made Me Do,1,2017-10-28,4,8
Portugal. The Man,Feel It Still,5,2017-10-28,5,17
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-10-28,6,15
Sam Smith,Too Good At Goodbyes,5,2017-10-28,7,5
Imagine Dragons,Thunder,7,2017-10-28,8,24
Demi Lovato,Sorry Not Sorry,8,2017-10-28,9,14
French Montana Featuring Swae Lee,Unforgettable,3,2017-10-28,10,27
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-10-28,11,39
Charlie Puth,Attention,5,2017-10-28,12,25
Imagine Dragons,Believer,4,2017-10-28,13,36
21 Savage,Bank Account,12,2017-10-28,14,14
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-10-28,15,15
Liam Payne Featuring Quavo,Strip That Down,10,2017-10-28,16,21
Maroon 5 Featuring SZA,What Lovers Do,17,2017-10-28,17,7
Ed Sheeran,Shape Of You,1,2017-10-28,18,40
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-10-28,19,25
Lin,Almost Like Praying,,2017-10-28,20,
Niall Horan,Slow Hands,11,2017-10-28,21,24
Ed Sheeran,Perfect,22,2017-10-28,22,7
P!nk,What About Us,23,2017-10-28,23,10
Gucci Mane Featuring Migos,I Get The Bag,22,2017-10-28,24,8
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-10-28,25,17
Camila Cabello Featuring Young Thug,Havana,26,2017-10-28,26,9
Kane Brown Featuring Lauren Alaina,What Ifs,27,2017-10-28,27,18
Kesha,Praying,22,2017-10-28,28,14
Khalid,Young Dumb & Broke,25,2017-10-28,29,13
Bruno Mars,That's What I Like,1,2017-10-28,30,39
Post Malone,I Fall Apart,31,2017-10-28,31,3
Lil Pump,Gucci Gang,32,2017-10-28,32,5
Kendrick Lamar,Humble.,1,2017-10-28,33,28
The Chainsmokers & Coldplay,Something Just Like This,3,2017-10-28,34,34
Lil Uzi Vert,XO TOUR Llif3,7,2017-10-28,35,29
SZA Featuring Travis Scott,Love Galore,32,2017-10-28,36,18
Post Malone Featuring Quavo,Congratulations,8,2017-10-28,37,42
Sam Hunt,Body Like A Back Road,6,2017-10-28,38,37
Luke Combs,When It Rains It Pours,39,2017-10-28,39,11
Halsey,Bad At Love,40,2017-10-28,40,6
Khalid,Location,16,2017-10-28,41,40
James Arthur,Say You Won't Let Go,11,2017-10-28,42,51
Cheat Codes Featuring Demi Lovato,No Promises,38,2017-10-28,43,22
Dua Lipa,New Rules,42,2017-10-28,44,11
Blackbear,Do Re Mi,41,2017-10-28,45,18
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-10-28,46,16
SZA,The Weekend,47,2017-10-28,47,11
Kendrick Lamar Featuring Rihanna,Loyalty.,14,2017-10-28,48,26
Thomas Rhett,Unforgettable,47,2017-10-28,49,11
Dustin Lynch,Small Town Boy,36,2017-10-28,50,19
G,No Limit,51,2017-10-28,51,5
Travis Scott,Butterfly Effect,52,2017-10-28,52,20
Taylor Swift,...Ready For It?,4,2017-10-28,53,6
Marshmello Featuring Khalid,Silence,42,2017-10-28,54,9
Sam Smith Featuring Logic,Pray,,2017-10-28,55,
Tay,The Race,44,2017-10-28,56,10
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,39,2017-10-28,57,7
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-10-28,58,8
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,59,2017-10-28,59,5
Charlie Puth,How Long,,2017-10-28,60,
LANCO,Greatest Love Story,61,2017-10-28,61,6
XXXTENTACION,Jocelyn Flores,31,2017-10-28,62,7
Kodak Black,Transportin',46,2017-10-28,63,8
Macklemore Featuring Skylar Grey,Glorious,49,2017-10-28,64,14
Carly Pearce,Every Little Thing,65,2017-10-28,65,11
Young Thug Featuring Future,Relationship,66,2017-10-28,66,8
Jon Pardi,Heartache On The Dance Floor,47,2017-10-28,67,15
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,44,2017-10-28,68,18
Kenny Chesney,All The Pretty Girls,63,2017-10-28,69,11
Kelly Clarkson,Love So Soft,62,2017-10-28,70,5
Zayn Featuring Sia,Dusk Till Dawn,44,2017-10-28,71,5
Kane Brown,Heaven,,2017-10-28,72,
Justin Bieber + BloodPop,Friends,20,2017-10-28,73,8
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-10-28,74,7
Luke Bryan,Light It Up,75,2017-10-28,75,7
Wisin Featuring Ozuna,Escapate Conmigo,63,2017-10-28,76,18
Kip Moore,More Girls Like You,77,2017-10-28,77,9
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,20,2017-10-28,78,17
Jason Aldean,They Don't Know,67,2017-10-28,79,11
Jacquees,B.E.D.,69,2017-10-28,80,10
Chris Janson,Fix A Drink,81,2017-10-28,81,7
Blake Shelton,I'll Name The Dogs,73,2017-10-28,82,5
Maren Morris,I Could Use A Love Song,83,2017-10-28,83,8
Brett Young,Like I Loved You,84,2017-10-28,84,3
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,85,2017-10-28,85,3
A$AP Ferg Featuring Nicki Minaj,Plain Jane,86,2017-10-28,86,3
Lil Uzi Vert,Sauce It Up,49,2017-10-28,87,7
Post Malone,Go Flex,88,2017-10-28,88,4
Chris Brown,Questions,84,2017-10-28,89,7
Miguel Featuring Travis Scott,Sky Walker,90,2017-10-28,90,3
Maren Morris Featuring Vince Gill,Dear Hate,,2017-10-28,91,
Chris Young,Losing Sleep,92,2017-10-28,92,3
A Boogie Wit da Hoodie,No Promises,74,2017-10-28,93,2
A Boogie Wit da Hoodie,Say A',75,2017-10-28,94,2
MAX Featuring gnash,Lights Down Low,,2017-10-28,95,
Eric Church,Round Here Buzz,96,2017-10-28,96,3
"Quavo, Takeoff & Offset",Too Hotty,,2017-10-28,97,
BTS,DNA,67,2017-10-28,98,4
Florida Georgia Line,Smooth,98,2017-10-28,99,2
Billy Currington,Do I Make You Wanna,47,2017-10-28,100,18
Cardi B,Bodak Yellow,1,2017-10-21,1,4
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-10-21,3,14
800,1,3,2017-10-21,4,23
Taylor Swift,Look What You Made Me Do,1,2017-10-21,5,7
Portugal. The Man,Feel It Still,6,2017-10-21,6,16
Imagine Dragons,Thunder,7,2017-10-21,7,23
Demi Lovato,Sorry Not Sorry,8,2017-10-21,8,13
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-10-21,9,38
French Montana Featuring Swae Lee,Unforgettable,3,2017-10-21,10,26
Imagine Dragons,Believer,4,2017-10-21,11,35
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-10-21,12,14
Sam Smith,Too Good At Goodbyes,5,2017-10-21,13,4
Liam Payne Featuring Quavo,Strip That Down,10,2017-10-21,14,20
Charlie Puth,Attention,5,2017-10-21,15,24
21 Savage,Bank Account,12,2017-10-21,16,13
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-10-21,17,24
Niall Horan,Slow Hands,11,2017-10-21,18,23
Maroon 5 Featuring SZA,What Lovers Do,19,2017-10-21,19,6
Ed Sheeran,Shape Of You,1,2017-10-21,20,39
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-10-21,21,16
Kendrick Lamar,Humble.,1,2017-10-21,22,27
Bruno Mars,That's What I Like,1,2017-10-21,23,38
Gucci Mane Featuring Migos,I Get The Bag,22,2017-10-21,24,7
P!nk,What About Us,25,2017-10-21,25,9
Kesha,Praying,22,2017-10-21,26,13
Khalid,Young Dumb & Broke,25,2017-10-21,27,12
Kane Brown Featuring Lauren Alaina,What Ifs,28,2017-10-21,28,17
Camila Cabello Featuring Young Thug,Havana,29,2017-10-21,29,8
Lil Uzi Vert,XO TOUR Llif3,7,2017-10-21,30,28
Sam Hunt,Body Like A Back Road,6,2017-10-21,31,36
The Chainsmokers & Coldplay,Something Just Like This,3,2017-10-21,32,33
SZA Featuring Travis Scott,Love Galore,32,2017-10-21,33,17
Ed Sheeran,Perfect,34,2017-10-21,34,6
Post Malone Featuring Quavo,Congratulations,8,2017-10-21,35,41
Khalid,Location,16,2017-10-21,36,39
James Arthur,Say You Won't Let Go,11,2017-10-21,37,50
Cheat Codes Featuring Demi Lovato,No Promises,38,2017-10-21,38,21
Post Malone,I Fall Apart,39,2017-10-21,39,2
Luke Combs,When It Rains It Pours,40,2017-10-21,40,10
Blackbear,Do Re Mi,41,2017-10-21,41,17
Dua Lipa,New Rules,42,2017-10-21,42,10
Dustin Lynch,Small Town Boy,36,2017-10-21,43,18
Kendrick Lamar Featuring Rihanna,Loyalty.,14,2017-10-21,44,25
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-10-21,45,15
Lil Pump,Gucci Gang,46,2017-10-21,46,4
Taylor Swift,...Ready For It?,4,2017-10-21,47,5
SZA,The Weekend,48,2017-10-21,48,10
Halsey,Bad At Love,49,2017-10-21,49,5
Childish Gambino,Redbone,12,2017-10-21,50,44
Thomas Rhett,Unforgettable,47,2017-10-21,51,10
Travis Scott,Butterfly Effect,52,2017-10-21,52,19
Marshmello Featuring Khalid,Silence,42,2017-10-21,53,8
Justin Bieber + BloodPop,Friends,20,2017-10-21,54,7
Macklemore Featuring Skylar Grey,Glorious,49,2017-10-21,55,13
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-10-21,56,7
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,39,2017-10-21,57,6
Tay,The Race,44,2017-10-21,58,9
G,No Limit,59,2017-10-21,59,4
Kodak Black,Transportin',46,2017-10-21,60,7
Jon Pardi,Heartache On The Dance Floor,47,2017-10-21,61,14
XXXTENTACION,Jocelyn Flores,31,2017-10-21,62,6
Kenny Chesney,All The Pretty Girls,63,2017-10-21,63,10
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,44,2017-10-21,64,17
LANCO,Greatest Love Story,65,2017-10-21,65,5
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,20,2017-10-21,66,16
Jason Aldean,They Don't Know,67,2017-10-21,67,10
Bhad Bhabie,Hi Bich,,2017-10-21,68,
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,69,2017-10-21,69,4
Zayn Featuring Sia,Dusk Till Dawn,44,2017-10-21,70,4
Carly Pearce,Every Little Thing,71,2017-10-21,71,10
Kelly Clarkson,Love So Soft,62,2017-10-21,72,4
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-10-21,73,6
A Boogie Wit da Hoodie,No Promises,,2017-10-21,74,
A Boogie Wit da Hoodie,Say A',,2017-10-21,75,
Wisin Featuring Ozuna,Escapate Conmigo,63,2017-10-21,76,17
Jacquees,B.E.D.,69,2017-10-21,77,9
Young Thug Featuring Future,Relationship,78,2017-10-21,78,7
Lil Uzi Vert,Sauce It Up,49,2017-10-21,79,6
Luke Bryan,Light It Up,76,2017-10-21,80,6
Kip Moore,More Girls Like You,81,2017-10-21,81,8
Chris Janson,Fix A Drink,81,2017-10-21,82,6
Blake Shelton,I'll Name The Dogs,73,2017-10-21,83,4
A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated,,2017-10-21,84,
Maren Morris,I Could Use A Love Song,85,2017-10-21,85,7
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode,,2017-10-21,86,
BTS,DNA,67,2017-10-21,87,3
Brothers Osborne,It Ain't My Fault,79,2017-10-21,88,16
Chris Brown,Questions,84,2017-10-21,89,6
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,90,2017-10-21,90,2
Brett Young,Like I Loved You,91,2017-10-21,91,2
Old Dominion,No Such Thing As A Broken Heart,46,2017-10-21,92,19
Billy Currington,Do I Make You Wanna,47,2017-10-21,93,17
Chris Young,Losing Sleep,94,2017-10-21,94,2
Post Malone,Go Flex,94,2017-10-21,95,3
Miguel Featuring Travis Scott,Sky Walker,96,2017-10-21,96,2
A$AP Ferg Featuring Nicki Minaj,Plain Jane,97,2017-10-21,97,2
Florida Georgia Line,Smooth,,2017-10-21,98,
Eric Church,Round Here Buzz,97,2017-10-21,99,2
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need,51,2017-10-21,100,13
Cardi B,Bodak Yellow,1,2017-10-14,1,3
Taylor Swift,Look What You Made Me Do,1,2017-10-14,3,6
800,1,3,2017-10-14,4,22
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-10-14,5,37
French Montana Featuring Swae Lee,Unforgettable,3,2017-10-14,6,25
Portugal. The Man,Feel It Still,7,2017-10-14,7,15
Imagine Dragons,Believer,4,2017-10-14,8,34
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-10-14,9,13
Demi Lovato,Sorry Not Sorry,10,2017-10-14,10,12
Charlie Puth,Attention,5,2017-10-14,11,23
Liam Payne Featuring Quavo,Strip That Down,10,2017-10-14,12,19
Niall Horan,Slow Hands,11,2017-10-14,13,22
Sam Smith,Too Good At Goodbyes,5,2017-10-14,14,3
21 Savage,Bank Account,12,2017-10-14,15,12
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-10-14,16,23
Imagine Dragons,Thunder,17,2017-10-14,17,22
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-10-14,18,15
Ed Sheeran,Shape Of You,1,2017-10-14,19,38
Maroon 5 Featuring SZA,What Lovers Do,20,2017-10-14,20,5
J Balvin & Willy William Featuring Beyonce,Mi Gente,19,2017-10-14,21,13
Bruno Mars,That's What I Like,1,2017-10-14,22,37
Gucci Mane Featuring Migos,I Get The Bag,22,2017-10-14,23,6
Kesha,Praying,22,2017-10-14,24,12
Khalid,Young Dumb & Broke,25,2017-10-14,25,11
Sam Hunt,Body Like A Back Road,6,2017-10-14,26,35
Lil Uzi Vert,XO TOUR Llif3,7,2017-10-14,27,27
Kendrick Lamar,Humble.,1,2017-10-14,28,26
P!nk,What About Us,26,2017-10-14,29,8
The Chainsmokers & Coldplay,Something Just Like This,3,2017-10-14,30,32
Kane Brown Featuring Lauren Alaina,What Ifs,31,2017-10-14,31,16
SZA Featuring Travis Scott,Love Galore,32,2017-10-14,32,16
Khalid,Location,16,2017-10-14,33,38
James Arthur,Say You Won't Let Go,11,2017-10-14,34,49
Post Malone Featuring Quavo,Congratulations,8,2017-10-14,35,40
